SD = 1
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 9.99999e-05, buffer size: 0, reallocated: 100, Average try per allocated element: 22.11, Average service time: 0.00950982, Average service time (ALL): 0.00950982, Average buffer size: 0.00237708, searchDepth: 1, maxBufferSize: 2147483647, pushed: 100
W/Buffer erlang index: 4, erlang: 3000, BBP: 3.13356e-06, general blocking: 1e-06, general blocking (original): 0.012387, buffer size: 1, reallocated: 12386, Average try per allocated element: 22.8424, Average service time: 0.0268809, Average service time (ALL): 0.0268788, Average buffer size: 0.998687, searchDepth: 1, maxBufferSize: 2147483647, pushed: 12487
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.0231288, general blocking: 0.007381, general blocking (original): 0.0534869, buffer size: 7381, reallocated: 46106, Average try per allocated element: 21.3538, Average service time: 18.6719, Average service time (ALL): 18.8164, Average buffer size: 3521.96, searchDepth: 1, maxBufferSize: 2147483647, pushed: 65974
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.0855023, general blocking: 0.027286, general blocking (original): 0.0602149, buffer size: 27286, reallocated: 32929, Average try per allocated element: 29.3116, Average service time: 55.6704, Average service time (ALL): 55.9523, Average buffer size: 13474.6, searchDepth: 1, maxBufferSize: 2147483647, pushed: 126189
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.134201, general blocking: 0.042827, general blocking (original): 0.0661759, buffer size: 42827, reallocated: 23349, Average try per allocated element: 40.703, Average service time: 69.8795, Average service time (ALL): 71.2234, Average buffer size: 21206.4, searchDepth: 1, maxBufferSize: 2147483647, pushed: 192365
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.175438, general blocking: 0.055988, general blocking (original): 0.0727309, buffer size: 55988, reallocated: 16743, Average try per allocated element: 55.9911, Average service time: 74.8712, Average service time (ALL): 76.4503, Average buffer size: 27797.2, searchDepth: 1, maxBufferSize: 2147483647, pushed: 265096
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.209296, general blocking: 0.066797, general blocking (original): 0.0785959, buffer size: 66797, reallocated: 11799, Average try per allocated element: 78.5011, Average service time: 75.8067, Average service time (ALL): 77.2312, Average buffer size: 33380.1, searchDepth: 1, maxBufferSize: 2147483647, pushed: 343692
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.236324, general blocking: 0.075433, general blocking (original): 0.0841519, buffer size: 75433, reallocated: 8719, Average try per allocated element: 105.227, Average service time: 71.3633, Average service time (ALL): 74.2916, Average buffer size: 37504.8, searchDepth: 1, maxBufferSize: 2147483647, pushed: 427844

SD = 2
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 2, maxBufferSize: 2147483647, pushed: 427844
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 2, maxBufferSize: 2147483647, pushed: 427844
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 2, maxBufferSize: 2147483647, pushed: 427844
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 9.99999e-05, buffer size: 0, reallocated: 100, Average try per allocated element: 23.74, Average service time: 0.00950982, Average service time (ALL): 0.00950982, Average buffer size: 0.00237708, searchDepth: 2, maxBufferSize: 2147483647, pushed: 427944
W/Buffer erlang index: 4, erlang: 3000, BBP: 0, general blocking: 0, general blocking (original): 0.012619, buffer size: 0, reallocated: 12619, Average try per allocated element: 32.8409, Average service time: 0.0193751, Average service time (ALL): 0.0193751, Average buffer size: 0.733367, searchDepth: 2, maxBufferSize: 2147483647, pushed: 440563
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.0138347, general blocking: 0.004415, general blocking (original): 0.0658659, buffer size: 4415, reallocated: 61451, Average try per allocated element: 31.6857, Average service time: 8.9974, Average service time (ALL): 9.04369, Average buffer size: 2084.52, searchDepth: 2, maxBufferSize: 2147483647, pushed: 506429
