W/Buffer erlang index: 0, erlang: 1000, BBP: 0.0737942, general blocking: 0.023724, general blocking (original): 0.0533439, buffer size: 23724, reallocated: 29620, Average try per allocated element: 32.8949, Average service time: 224.803, Average service time (ALL): 222.801, Average buffer size: 11883.2, searchDepth: 1, maxBufferSize: 2147483647, pushed: 53344
W/Buffer erlang index: 1, erlang: 1500, BBP: 0.194355, general blocking: 0.06307, general blocking (original): 0.0740409, buffer size: 63070, reallocated: 10971, Average try per allocated element: 85.2232, Average service time: 280.72, Average service time (ALL): 283.683, Average buffer size: 31501.3, searchDepth: 1, maxBufferSize: 2147483647, pushed: 127385
W/Buffer erlang index: 2, erlang: 2000, BBP: 0.26621, general blocking: 0.088599, general blocking (original): 0.0928629, buffer size: 88599, reallocated: 4264, Average try per allocated element: 213.202, Average service time: 231.312, Average service time (ALL): 237.496, Average buffer size: 44102.3, searchDepth: 1, maxBufferSize: 2147483647, pushed: 220248
W/Buffer erlang index: 3, erlang: 2500, BBP: 0.320044, general blocking: 0.110741, general blocking (original): 0.112523, buffer size: 110741, reallocated: 1782, Average try per allocated element: 497.392, Average service time: 183.79, Average service time (ALL): 196.84, Average buffer size: 55363.9, searchDepth: 1, maxBufferSize: 2147483647, pushed: 332771
W/Buffer erlang index: 4, erlang: 3000, BBP: 0.363276, general blocking: 0.130589, general blocking (original): 0.131302, buffer size: 130589, reallocated: 713, Average try per allocated element: 1212.27, Average service time: 164.261, Average service time (ALL): 165.217, Average buffer size: 65069.8, searchDepth: 1, maxBufferSize: 2147483647, pushed: 464073
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.400409, general blocking: 0.148917, general blocking (original): 0.149231, buffer size: 148917, reallocated: 314, Average try per allocated element: 2688.79, Average service time: 150.93, Average service time (ALL): 142.419, Average buffer size: 74375.2, searchDepth: 1, maxBufferSize: 2147483647, pushed: 613304
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.428526, general blocking: 0.16372, general blocking (original): 0.163897, buffer size: 163720, reallocated: 177, Average try per allocated element: 4072.25, Average service time: 92.6654, Average service time (ALL): 124.864, Average buffer size: 81846.3, searchDepth: 1, maxBufferSize: 2147483647, pushed: 777201
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.451876, general blocking: 0.176723, general blocking (original): 0.176848, buffer size: 176723, reallocated: 125, Average try per allocated element: 6486.5, Average service time: 66.5113, Average service time (ALL): 111.007, Average buffer size: 88327, searchDepth: 1, maxBufferSize: 2147483647, pushed: 954049
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.471477, general blocking: 0.187454, general blocking (original): 0.187529, buffer size: 187454, reallocated: 75, Average try per allocated element: 10328.9, Average service time: 26.3778, Average service time (ALL): 99.9973, Average buffer size: 93747.3, searchDepth: 1, maxBufferSize: 2147483647, pushed: 1141578
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.49025, general blocking: 0.197649, general blocking (original): 0.197715, buffer size: 197649, reallocated: 66, Average try per allocated element: 11825.1, Average service time: 26.8345, Average service time (ALL): 90.7863, Average buffer size: 98708.5, searchDepth: 1, maxBufferSize: 2147483647, pushed: 1339293
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.507596, general blocking: 0.207401, general blocking (original): 0.207461, buffer size: 207401, reallocated: 60, Average try per allocated element: 11415.3, Average service time: 28.3481, Average service time (ALL): 83.3254, Average buffer size: 103704, searchDepth: 1, maxBufferSize: 2147483647, pushed: 1546754

SD = 2
W/Buffer erlang index: 0, erlang: 1000, BBP: 0.0652454, general blocking: 0.021053, general blocking (original): 0.0621229, buffer size: 21053, reallocated: 41070, Average try per allocated element: 47.0833, Average service time: 169.331, Average service time (ALL): 169.794, Average buffer size: 10546.5, searchDepth: 2, maxBufferSize: 2147483647, pushed: 1608877
W/Buffer erlang index: 1, erlang: 1500, BBP: 0.192222, general blocking: 0.062653, general blocking (original): 0.0795749, buffer size: 62653, reallocated: 16922, Average try per allocated element: 110.106, Average service time: 261.409, Average service time (ALL): 261.676, Average buffer size: 31229.4, searchDepth: 2, maxBufferSize: 2147483647, pushed: 1688452
W/Buffer erlang index: 2, erlang: 2000, BBP: 0.265079, general blocking: 0.088761, general blocking (original): 0.0965679, buffer size: 88761, reallocated: 7807, Average try per allocated element: 232.197, Average service time: 225.918, Average service time (ALL): 229.569, Average buffer size: 44331.2, searchDepth: 2, maxBufferSize: 2147483647, pushed: 1785020
W/Buffer erlang index: 3, erlang: 2500, BBP: 0.319185, general blocking: 0.110656, general blocking (original): 0.113591, buffer size: 110656, reallocated: 2935, Average try per allocated element: 603.899, Average service time: 173.539, Average service time (ALL): 194.719, Average buffer size: 55287.3, searchDepth: 2, maxBufferSize: 2147483647, pushed: 1898611
