W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 4.5e-05, buffer size: 0, reallocated: 45, Average try per allocated element: 19, Average service time: 0.0131276, Average service time (ALL): 0.0131276, Average buffer size: 0.000885977, searchDepth: 1, maxBufferSize: 2147483647, pushed: 45
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0.001523, buffer size: 0, reallocated: 1523, Average try per allocated element: 30.9429, Average service time: 0.0219054, Average service time (ALL): 0.0219054, Average buffer size: 0.0667133, searchDepth: 1, maxBufferSize: 2147483647, pushed: 1568
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 0.013314, buffer size: 0, reallocated: 13314, Average try per allocated element: 44.4938, Average service time: 0.0976506, Average service time (ALL): 0.0976506, Average buffer size: 3.24979, searchDepth: 1, maxBufferSize: 2147483647, pushed: 14882
W/Buffer erlang index: 4, erlang: 3000, BBP: 0.0387852, general blocking: 0.012422, general blocking (original): 0.029815, buffer size: 12422, reallocated: 17393, Average try per allocated element: 56.4429, Average service time: 68.6137, Average service time (ALL): 68.672, Average buffer size: 6141.41, searchDepth: 1, maxBufferSize: 2147483647, pushed: 44697
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.0919657, general blocking: 0.029451, general blocking (original): 0.040317, buffer size: 29451, reallocated: 10866, Average try per allocated element: 88.8549, Average service time: 106.499, Average service time (ALL): 103.96, Average buffer size: 14667.4, searchDepth: 1, maxBufferSize: 2147483647, pushed: 85014
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.136587, general blocking: 0.043854, general blocking (original): 0.0500649, buffer size: 43854, reallocated: 6211, Average try per allocated element: 153.03, Average service time: 107.36, Average service time (ALL): 108.784, Average buffer size: 21781.7, searchDepth: 1, maxBufferSize: 2147483647, pushed: 135079
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.174267, general blocking: 0.0562, general blocking (original): 0.0596009, buffer size: 56200, reallocated: 3401, Average try per allocated element: 275.827, Average service time: 101.08, Average service time (ALL): 104.339, Average buffer size: 27979.8, searchDepth: 1, maxBufferSize: 2147483647, pushed: 194680
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.203887, general blocking: 0.066314, general blocking (original): 0.0679249, buffer size: 66314, reallocated: 1611, Average try per allocated element: 567.144, Average service time: 87.067, Average service time (ALL): 96.7551, Average buffer size: 32855.3, searchDepth: 1, maxBufferSize: 2147483647, pushed: 262605
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.231086, general blocking: 0.075967, general blocking (original): 0.0764799, buffer size: 75967, reallocated: 513, Average try per allocated element: 1790.16, Average service time: 61.3343, Average service time (ALL): 89.6454, Average buffer size: 37702.5, searchDepth: 1, maxBufferSize: 2147483647, pushed: 339085

