Search depth: 1
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	1e-06	\\
3500	0.007381	\\
4000	0.027286	\\
4500	0.042827	\\
5000	0.055988	\\
5500	0.066797	\\
6000	0.075433	\\
Search depth: 2
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	0	\\
3500	0.004415	\\
4000	0.023698	\\
4500	0.040957	\\
5000	0.053882	\\
5500	0.065205	\\
Search depth: 5
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	0	\\
3500	0.000108	\\
4000	0.020335	\\
4500	0.037277	\\
5000	0.051852	\\
5500	0.0634	\\
6000	0.073423	\\
Search depth: 10
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	1e-06	\\
3500	5e-06	\\
4000	0.014427	\\
4500	0.033093	\\
5000	0.04796	\\
5500	0.060059	\\
6000	0.070991	\\
Search depth: 20
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	1e-06	\\
3500	3e-06	\\
4000	0.008224	\\
4500	0.02778	\\
5000	0.043234	\\
5500	0.057216	\\
6000	0.067118	\\
Search depth: 50
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	0	\\
3500	1.1e-05	\\
4000	2.8e-05	\\
4500	0.018479	\\
5000	0.034954	\\
5500	0.049379	\\
6000	0.062821	\\
