Search depth: 1
1000	0.023724	\\
1500	0.06307	\\
2000	0.088599	\\
2500	0.110741	\\
3000	0.130589	\\
3500	0.148917	\\
4000	0.16372	\\
4500	0.176723	\\
5000	0.187454	\\
5500	0.197649	\\
6000	0.207401	\\
Search depth: 2
1000	0.021053	\\
1500	0.062653	\\
2000	0.088761	\\
2500	0.110656	\\
3000	0.131392	\\
3500	0.148903	\\
4000	0.163417	\\
Search depth: 5
1000	0.016249	\\
1500	0.060679	\\
2000	0.088164	\\
2500	0.111717	\\
3000	0.131149	\\
3500	0.148986	\\
4000	0.163456	\\
4500	0.176788	\\
5000	0.187539	\\
5500	0.197994	\\
6000	0.207147	\\
Search depth: 10
1000	0.011836	\\
1500	0.0592	\\
2000	0.088395	\\
2500	0.112381	\\
3000	0.13285	\\
3500	0.149078	\\
4000	0.163892	\\
4500	0.176879	\\
5000	0.187735	\\
5500	0.198035	\\
6000	0.207402	\\
Search depth: 20
1000	0.00634	\\
1500	0.057984	\\
2000	0.089834	\\
2500	0.1134	\\
3000	0.1342	\\
3500	0.149841	\\
4000	0.164822	\\
4500	0.176844	\\
5000	0.187944	\\
5500	0.19855	\\
6000	0.207503	\\
Search depth: 50
1000	2.9e-05	\\
1500	0.055897	\\
2000	0.091227	\\
2500	0.116978	\\
3000	0.136784	\\
3500	0.152128	\\
4000	0.166497	\\
4500	0.178481	\\
5000	0.189583	\\
5500	0.199578	\\
6000	0.208375	\\
