Search depth: 1
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	0.012422	\\
3500	0.029451	\\
4000	0.043854	\\
4500	0.0562	\\
5000	0.066314	\\
5500	0.075967	\\
6000	0.084673	\\
Search depth: 2
1000	0	\\
1500	0	\\
2000	0	\\
Search depth: 5
1000	0	\\
1500	0	\\
2000	0	\\
2500	1e-06	\\
3000	0.00641	\\
3500	0.025141	\\
4000	0.04105	\\
4500	0.054373	\\
5000	0.065715	\\
5500	0.075248	\\
6000	0.084505	\\
Search depth: 10
1000	0	\\
1500	0	\\
2000	0	\\
2500	1e-06	\\
3000	0.002424	\\
3500	0.02284	\\
4000	0.039982	\\
4500	0.052971	\\
5000	0.064944	\\
5500	0.075249	\\
6000	0.084416	\\
Search depth: 20
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	2.9e-05	\\
3500	0.019727	\\
4000	0.037977	\\
4500	0.052323	\\
5000	0.064633	\\
5500	0.074617	\\
6000	0.084455	\\
Search depth: 50
1000	0	\\
1500	0	\\
2000	0	\\
2500	0	\\
3000	3.5e-05	\\
3500	0.014345	\\
4000	0.034701	\\
